id,date,time,type,account,destination_account,category,note,currency,amount,account_currency,account_amount,destination_currency,destination_amount,tax_rate,tax_amount,tax_base_amount,tax_input_mode,is_tax_exempt
demo-181,2026-02-04,10:40,transfer,Emergency Savings,HSBC Everyday,Other,EUR travel pocket funding,HKD,3688.00,HKD,3688.00,EUR,400.00,,,,,false
demo-182,2026-02-03,09:37,expense,HSBC Everyday,,Transport,MTR journeys,HKD,203.20,HKD,203.20,,,0.09,16.78,186.42,finalAmount,false
demo-183,2026-02-01,08:31,expense,HSBC Everyday,,Food,Breakfast cafe,HKD,91.54,HKD,91.54,,,0.09,7.56,83.98,finalAmount,false
demo-184,2026-01-28,18:45,transfer,HSBC Everyday,Apple Card,Other,Apple Card payment,HKD,703.79,HKD,703.79,USD,90.23,,,,,false
demo-185,2026-01-28,17:45,expense,HSBC Everyday,,Other,Dental check-up,HKD,278.51,HKD,278.51,,,0.09,23.00,255.51,finalAmount,false
demo-186,2026-01-28,09:45,income,Emergency Savings,,Interest,Savings interest,HKD,33.00,HKD,33.00,,,0.15,5.82,38.82,finalAmount,false
demo-187,2026-01-28,09:45,income,Investments,,Interest,USD cash interest,USD,5.00,USD,5.00,,,0.15,0.88,5.88,finalAmount,false
demo-188,2026-01-27,15:42,expense,HSBC Everyday,,Shopping,Uniqlo,HKD,619.44,HKD,619.44,,,0.09,51.15,568.29,finalAmount,false
demo-189,2026-01-26,20:39,expense,Cash,,Transport,Taxi,HKD,90.18,HKD,90.18,,,0.09,7.45,82.73,finalAmount,false
demo-190,2026-01-26,10:39,transfer,HSBC Everyday,Emergency Savings,Other,Monthly savings,HKD,8000.00,HKD,8000.00,HKD,8000.00,,,,,false
demo-191,2026-01-25,10:36,income,HSBC Everyday,,Salary,Monthly salary,HKD,22000.00,HKD,22000.00,,,0.15,3882.35,25882.35,finalAmount,false
demo-192,2026-01-24,12:33,expense,HSBC Everyday,,Food,Penang lunch,MYR,47.46,HKD,79.26,,,0.09,3.92,43.54,finalAmount,false
demo-193,2026-01-23,14:30,expense,HSBC Everyday,,Other,Museum tickets,EUR,25.21,EUR,25.21,,,0.09,2.08,23.13,finalAmount,false
demo-194,2026-01-21,10:24,expense,Apple Card,,Utilities,Cloud storage and mobile,USD,31.31,USD,31.31,,,0.09,2.59,28.72,finalAmount,false
demo-195,2026-01-19,19:18,expense,HSBC Everyday,,Food,ParknShop,HKD,322.49,HKD,322.49,,,0.09,26.63,295.86,finalAmount,false
demo-196,2026-01-17,16:12,expense,HSBC Everyday,,Shopping,Taobao,CNY,174.28,CNY,174.28,,,0.09,14.39,159.89,finalAmount,false
demo-197,2026-01-15,09:06,expense,HSBC Everyday,,Transport,JR ticket,JPY,978.50,JPY,978.50,,,0.09,80.79,897.71,finalAmount,false
demo-198,2026-01-13,19:00,expense,HSBC Everyday,,Food,Restaurant,USD,30.57,USD,30.57,,,0.09,2.52,28.05,finalAmount,false
demo-199,2026-01-12,14:57,income,Mainland Wallet,,Other Income,Sold used books,CNY,300.00,CNY,300.00,,,0.15,52.94,352.94,finalAmount,false
demo-200,2026-01-11,18:54,expense,HSBC Everyday,,Other,Cinema,HKD,193.74,HKD,193.74,,,0.09,16.00,177.74,finalAmount,false
demo-201,2026-01-09,12:48,expense,Mainland Wallet,,Food,Shenzhen lunch,CNY,70.30,CNY,70.30,,,0.09,5.80,64.50,finalAmount,false
demo-202,2026-01-07,10:42,expense,HSBC Everyday,,Utilities,Electricity bill,HKD,484.51,HKD,484.51,,,0.09,40.01,444.50,finalAmount,false
demo-203,2026-01-05,15:36,expense,Apple Card,,Shopping,Amazon,USD,58.92,USD,58.92,,,0.09,4.86,54.06,finalAmount,false
demo-204,2026-01-04,10:33,transfer,Emergency Savings,HSBC Everyday,Other,CNY travel pocket funding,HKD,1296.00,HKD,1296.00,CNY,1200.00,,,,,false
demo-205,2026-01-03,09:30,expense,HSBC Everyday,,Transport,Octopus top-up,HKD,159.86,HKD,159.86,,,0.09,13.20,146.66,finalAmount,false
demo-206,2026-01-01,08:24,expense,HSBC Everyday,,Food,Cafe de Coral,HKD,72.14,HKD,72.14,,,0.09,5.96,66.18,finalAmount,false
demo-207,2025-12-28,18:38,transfer,HSBC Everyday,Apple Card,Other,Apple Card payment,HKD,611.91,HKD,611.91,USD,78.45,,,,,false
demo-208,2025-12-28,17:38,expense,HSBC Everyday,,Other,Travel insurance,HKD,231.09,HKD,231.09,,,0.09,19.08,212.01,finalAmount,false
demo-209,2025-12-28,09:38,income,Emergency Savings,,Interest,Savings interest,HKD,30.00,HKD,30.00,,,0.15,5.29,35.29,finalAmount,false
demo-210,2025-12-28,09:38,income,Investments,,Interest,USD cash interest,USD,4.00,USD,4.00,,,0.15,0.71,4.71,finalAmount,false
demo-211,2025-12-27,15:35,expense,HSBC Everyday,,Shopping,Department store,HKD,512.86,HKD,512.86,,,0.09,42.35,470.51,finalAmount,false
demo-212,2025-12-26,20:32,expense,Cash,,Transport,Evening transport,HKD,74.80,HKD,74.80,,,0.09,6.18,68.62,finalAmount,false
demo-213,2025-12-26,10:32,transfer,HSBC Everyday,Emergency Savings,Other,Monthly savings,HKD,8000.00,HKD,8000.00,HKD,8000.00,,,,,false
demo-214,2025-12-25,10:29,income,HSBC Everyday,,Salary,Monthly salary,HKD,23000.00,HKD,23000.00,,,0.15,4058.82,27058.82,finalAmount,false
demo-215,2025-12-24,12:26,expense,HSBC Everyday,,Food,Cafe lunch,MYR,44.77,HKD,74.77,,,0.09,3.70,41.07,finalAmount,false
demo-216,2025-12-23,14:23,expense,HSBC Everyday,,Other,Travel service,EUR,20.91,EUR,20.91,,,0.09,1.73,19.18,finalAmount,false
demo-217,2025-12-21,10:17,expense,Apple Card,,Utilities,Subscriptions,USD,29.57,USD,29.57,,,0.09,2.44,27.13,finalAmount,false
demo-218,2025-12-20,11:14,income,HSBC Everyday,,Bonus,Year-end bonus,HKD,12000.00,HKD,12000.00,,,0.15,2117.65,14117.65,finalAmount,false
demo-219,2025-12-19,19:11,expense,HSBC Everyday,,Food,Family dinner,HKD,267.34,HKD,267.34,,,0.09,22.07,245.27,finalAmount,false
demo-220,2025-12-17,16:05,expense,HSBC Everyday,,Shopping,Household supplies,CNY,164.74,CNY,164.74,,,0.09,13.60,151.14,finalAmount,false
demo-221,2025-12-16,11:02,income,Investments,,Dividends,Index fund distribution,USD,59.00,USD,59.00,,,0.15,10.41,69.41,finalAmount,false
demo-222,2025-12-15,09:59,expense,HSBC Everyday,,Transport,Airport rail,JPY,810.92,JPY,810.92,,,0.09,66.96,743.96,finalAmount,false
demo-223,2025-12-13,19:53,expense,HSBC Everyday,,Food,Weekend brunch,USD,25.38,USD,25.38,,,0.09,2.10,23.28,finalAmount,false
demo-224,2025-12-11,18:47,expense,HSBC Everyday,,Other,Pharmacy,HKD,160.51,HKD,160.51,,,0.09,13.25,147.26,finalAmount,false
demo-225,2025-12-09,12:41,expense,Mainland Wallet,,Food,Dim sum,CNY,58.34,CNY,58.34,,,0.09,4.82,53.52,finalAmount,false
demo-226,2025-12-07,10:35,expense,HSBC Everyday,,Utilities,Home utilities,HKD,401.28,HKD,401.28,,,0.09,33.13,368.15,finalAmount,false
demo-227,2025-12-05,15:29,expense,Apple Card,,Shopping,Books and stationery,USD,48.88,USD,48.88,,,0.09,4.04,44.84,finalAmount,false
demo-228,2025-12-04,10:26,transfer,HSBC Everyday,Investments,Other,Investment contribution,HKD,2340.00,HKD,2340.00,USD,300.00,,,,,false
demo-229,2025-12-03,09:23,expense,HSBC Everyday,,Transport,Rail ticket,HKD,132.35,HKD,132.35,,,0.09,10.93,121.42,finalAmount,false
demo-230,2025-12-01,08:17,expense,HSBC Everyday,,Food,McDonald's,HKD,59.84,HKD,59.84,,,0.09,4.94,54.90,finalAmount,false
demo-231,2025-11-28,18:31,transfer,HSBC Everyday,Apple Card,Other,Apple Card payment,HKD,756.05,HKD,756.05,USD,96.93,,,,,false
demo-232,2025-11-28,17:31,expense,HSBC Everyday,,Other,Gym membership,HKD,285.38,HKD,285.38,,,0.09,23.56,261.82,finalAmount,false
demo-233,2025-11-28,09:31,income,Emergency Savings,,Interest,Savings interest,HKD,27.00,HKD,27.00,,,0.15,4.76,31.76,finalAmount,false
demo-234,2025-11-28,09:31,income,Investments,,Interest,USD cash interest,USD,3.00,USD,3.00,,,0.15,0.53,3.53,finalAmount,false
demo-235,2025-11-27,15:28,expense,HSBC Everyday,,Shopping,Home electronics,HKD,722.18,HKD,722.18,,,0.09,59.63,662.55,finalAmount,false
demo-236,2025-11-26,20:25,expense,Cash,,Transport,Minibus and taxi,HKD,92.34,HKD,92.34,,,0.09,7.62,84.72,finalAmount,false
demo-237,2025-11-26,10:25,transfer,HSBC Everyday,Emergency Savings,Other,Monthly savings,HKD,8000.00,HKD,8000.00,HKD,8000.00,,,,,false
demo-238,2025-11-25,10:22,income,HSBC Everyday,,Salary,Monthly salary,HKD,22500.00,HKD,22500.00,,,0.15,3970.59,26470.59,finalAmount,false
demo-239,2025-11-24,12:19,expense,HSBC Everyday,,Food,Food court,MYR,55.37,HKD,92.47,,,0.09,4.57,50.80,finalAmount,false
demo-240,2025-11-23,14:16,expense,HSBC Everyday,,Other,Exhibition,EUR,25.80,EUR,25.80,,,0.09,2.13,23.67,finalAmount,false
demo-241,2025-11-21,10:10,expense,Apple Card,,Utilities,Annual app installment,USD,36.56,USD,36.56,,,0.09,3.02,33.54,finalAmount,false
demo-242,2025-11-19,19:04,expense,HSBC Everyday,,Food,Deliveroo dinner,HKD,329.84,HKD,329.84,,,0.09,27.23,302.61,finalAmount,false
demo-243,2025-11-18,15:01,expense,HSBC Everyday,,Shopping,Flight to visit family,HKD,1900.00,HKD,1900.00,,,0.09,156.88,1743.12,finalAmount,false
demo-244,2025-11-17,16:58,expense,HSBC Everyday,,Shopping,Muji,CNY,203.62,CNY,203.62,,,0.09,16.81,186.81,finalAmount,false
demo-245,2025-11-15,09:52,expense,HSBC Everyday,,Transport,Metro ticket,JPY,1000.16,JPY,1000.16,,,0.09,82.58,917.58,finalAmount,false
demo-246,2025-11-13,19:46,expense,HSBC Everyday,,Food,Dinner with friends,USD,31.36,USD,31.36,,,0.09,2.59,28.77,finalAmount,false
demo-247,2025-11-11,18:40,expense,HSBC Everyday,,Other,Haircut,HKD,225.57,HKD,225.57,,,0.09,18.63,206.94,finalAmount,false
demo-248,2025-11-09,12:34,expense,Mainland Wallet,,Food,Noodle restaurant,CNY,72.07,CNY,72.07,,,0.09,5.95,66.12,finalAmount,false
demo-249,2025-11-07,10:28,expense,HSBC Everyday,,Utilities,Internet and mobile,HKD,564.48,HKD,564.48,,,0.09,46.61,517.87,finalAmount,false
demo-250,2025-11-05,15:22,expense,Apple Card,,Shopping,Uniqlo,USD,60.37,USD,60.37,,,0.09,4.98,55.39,finalAmount,false
demo-251,2025-11-04,10:19,transfer,HSBC Everyday,Cash,Other,Cash withdrawal,HKD,600.00,HKD,600.00,HKD,600.00,,,,,false
demo-252,2025-11-03,09:16,expense,HSBC Everyday,,Transport,MTR journeys,HKD,186.37,HKD,186.37,,,0.09,15.39,170.98,finalAmount,false
demo-253,2025-11-01,08:10,expense,HSBC Everyday,,Food,Breakfast cafe,HKD,73.88,HKD,73.88,,,0.09,6.10,67.78,finalAmount,false
demo-254,2025-10-28,18:24,transfer,HSBC Everyday,Apple Card,Other,Apple Card payment,HKD,2019.42,HKD,2019.42,USD,258.90,,,,,false
demo-255,2025-10-28,17:24,expense,HSBC Everyday,,Other,Dental check-up,HKD,232.18,HKD,232.18,,,0.09,19.17,213.01,finalAmount,false
demo-256,2025-10-28,09:24,income,Emergency Savings,,Interest,Savings interest,HKD,24.00,HKD,24.00,,,0.15,4.24,28.24,finalAmount,false
demo-257,2025-10-28,09:24,income,Investments,,Interest,USD cash interest,USD,2.00,USD,2.00,,,0.15,0.35,2.35,finalAmount,false
demo-258,2025-10-27,15:21,expense,HSBC Everyday,,Shopping,Uniqlo,HKD,588.63,HKD,588.63,,,0.09,48.60,540.03,finalAmount,false
demo-259,2025-10-26,20:18,expense,Cash,,Transport,Taxi,HKD,75.11,HKD,75.11,,,0.09,6.20,68.91,finalAmount,false
demo-260,2025-10-26,10:18,transfer,HSBC Everyday,Emergency Savings,Other,Monthly savings,HKD,8000.00,HKD,8000.00,HKD,8000.00,,,,,false
demo-261,2025-10-25,10:15,income,HSBC Everyday,,Salary,Monthly salary,HKD,22000.00,HKD,22000.00,,,0.15,3882.35,25882.35,finalAmount,false
demo-262,2025-10-24,12:12,expense,HSBC Everyday,,Food,Penang lunch,MYR,45.12,HKD,75.35,,,0.09,3.73,41.39,finalAmount,false
demo-263,2025-10-23,14:09,expense,HSBC Everyday,,Other,Museum tickets,EUR,23.91,EUR,23.91,,,0.09,1.97,21.94,finalAmount,false
demo-264,2025-10-21,10:03,expense,Apple Card,,Utilities,Cloud storage and mobile,USD,29.78,USD,29.78,,,0.09,2.46,27.32,finalAmount,false
demo-265,2025-10-19,19:57,expense,HSBC Everyday,,Food,ParknShop,HKD,305.97,HKD,305.97,,,0.09,25.26,280.71,finalAmount,false
demo-266,2025-10-17,16:51,expense,HSBC Everyday,,Shopping,Taobao,CNY,165.82,CNY,165.82,,,0.09,13.69,152.13,finalAmount,false
demo-267,2025-10-16,11:48,income,Investments,,Dividends,Index fund distribution,USD,35.00,USD,35.00,,,0.15,6.18,41.18,finalAmount,false
demo-268,2025-10-15,09:45,expense,HSBC Everyday,,Transport,JR ticket,JPY,928.72,JPY,928.72,,,0.09,76.68,852.04,finalAmount,false
demo-269,2025-10-13,19:39,expense,HSBC Everyday,,Food,Restaurant,USD,25.53,USD,25.53,,,0.09,2.11,23.42,finalAmount,false
demo-270,2025-10-12,14:36,income,Mainland Wallet,,Other Income,Travel reimbursement,CNY,300.00,CNY,300.00,,,0.15,52.94,352.94,finalAmount,false
demo-271,2025-10-11,18:33,expense,HSBC Everyday,,Other,Cinema,HKD,183.96,HKD,183.96,,,0.09,15.19,168.77,finalAmount,false
demo-272,2025-10-09,12:27,expense,Mainland Wallet,,Food,Shenzhen lunch,CNY,58.66,CNY,58.66,,,0.09,4.84,53.82,finalAmount,false
demo-273,2025-10-07,10:21,expense,HSBC Everyday,,Utilities,Electricity bill,HKD,460.22,HKD,460.22,,,0.09,38.00,422.22,finalAmount,false
demo-274,2025-10-05,15:15,expense,Apple Card,,Shopping,Amazon,USD,49.12,USD,49.12,,,0.09,4.06,45.06,finalAmount,false
demo-275,2025-10-04,10:12,transfer,Emergency Savings,HSBC Everyday,Other,USD travel pocket funding,HKD,7020.00,HKD,7020.00,USD,900.00,,,,,false
demo-276,2025-10-03,09:09,expense,HSBC Everyday,,Transport,Octopus top-up,HKD,151.90,HKD,151.90,,,0.09,12.54,139.36,finalAmount,false
demo-277,2025-10-01,08:03,expense,HSBC Everyday,,Food,Cafe de Coral,HKD,60.08,HKD,60.08,,,0.09,4.96,55.12,finalAmount,false
